ts,d_ri
-2.04209E-4,0.027950286865234375
8.5025E-5,0.30097389221191406
6.53666E-5,0.001491546630859375
3.6017E-6,0.13629436492919922
-1.88008E-4,-0.1677875518798828
-6.40366E-5,-0.030393600463867188
-3.25711E-5,0.2773399353027344
-5.25024E-6,0.07496833801269531
1.34542E-5,-0.18318939208984375
-1.05673E-4,-0.2635974884033203
2.81279E-5,0.1785449981689453
-3.33802E-5,0.05931854248046875
-2.4424E-4,-0.09171867370605469
-8.11905E-5,-0.10799026489257812
-2.21142E-5,0.10000038146972656
1.57105E-5,-0.0311126708984375
-7.75986E-5,0.2678680419921875
6.19203E-5,0.17413330078125
-2.77426E-6,0.17064285278320312
1.13853E-4,0.03636741638183594
-6.35345E-5,0.15239524841308594
1.2191E-5,0.057056427001953125
3.23287E-7,0.15343666076660156
4.85636E-6,-0.020320892333984375
1.25887E-4,-0.04607582092285156
5.90133E-5,0.17654991149902344
-1.34059E-5,-0.052490234375
1.05035E-4,-0.10703086853027344
1.49504E-4,-0.22054672241210938
-6.04096E-5,0.0413818359375
-2.18234E-5,-0.06917572021484375
3.49658E-5,-0.0626983642578125
-9.42521E-5,-0.11164474487304688
-1.04939E-4,-0.0011653900146484375
-6.01904E-5,0.0339813232421875
2.35186E-5,0.2393321990966797
-5.79688E-6,-0.044010162353515625
-6.5393E-6,0.19121551513671875
-4.38628E-5,0.05900764465332031
-4.25856E-5,-0.1483001708984375
-3.52943E-5,0.15203857421875
4.71268E-6,-0.03532981872558594
-6.00559E-5,0.08723640441894531
-3.16427E-5,-0.2765064239501953
1.04702E-4,0.09960174560546875
5.35139E-6,0.416046142578125
-4.21312E-5,-0.04454612731933594
-5.61908E-5,0.1490936279296875
-3.04243E-5,0.16013717651367188
-8.1614E-5,-2.460479736328125E-4
-1.67239E-5,-0.1068878173828125
2.17262E-5,-0.05644416809082031
-2.13916E-4,0.14093589782714844
-4.7891E-5,-0.04458427429199219
-8.59558E-5,0.09658622741699219
1.36182E-4,-0.007921218872070312
-9.3682E-6,0.03327751159667969
-1.37756E-5,0.00457763671875
1.14527E-4,0.07850074768066406
9.33693E-5,0.19722557067871094
-1.03582E-5,0.18120193481445312
2.54356E-4,0.0036258697509765625
1.01634E-4,0.12646484375
-3.5586E-6,0.05614471435546875
6.99737E-5,0.05796241760253906
-9.90655E-6,0.10199356079101562
-4.8808E-5,0.1919708251953125
-6.6921E-5,0.05181884765625
-1.69077E-5,0.04695892333984375
-2.38235E-5,0.07306289672851562
-8.92025E-6,0.13640785217285156
8.63437E-5,0.02846527099609375
-2.40819E-5,0.1102142333984375
5.35323E-5,-0.00832366943359375
2.36193E-5,0.09761619567871094
9.22061E-5,-0.033466339111328125
4.00382E-5,-0.033443450927734375
1.24846E-5,-0.11113739013671875
-8.80821E-6,0.042144775390625
4.94872E-6,0.2693061828613281
1.79087E-5,-0.16452980041503906
4.1564E-5,0.12382698059082031
